date,unique_active_devices,ai_requests,registered_devices,active_subscribers,total_worker_requests,returning_devices
2026-05-24,,,,,32,
2026-05-25,,,,,69,
2026-05-26,,,,,33,
2026-05-27,,,,,76,
2026-05-28,,,,,78,
2026-05-29,,,,,686,
2026-05-30,,,,,453,
2026-05-31,,,,,284,
2026-06-01,,,,,638,
2026-06-02,,,,,2097,
2026-06-03,,,,,2169,
2026-06-04,,,,,2442,
2026-06-05,,,,,2835,
2026-06-06,,,,,3091,
2026-06-07,0,0,0,0,3291,
2026-06-08,139,477,2339,0,4132,
2026-06-09,163,531,2720,0,4851,
2026-06-10,159,546,3039,0,4815,86
2026-06-11,143,461,3351,0,5219,86
2026-06-12,0,0,0,0,5319,0
2026-06-13,96,272,3846,0,3928,64
